date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:50	260174/260174	---M--	200	added ('OK')	image/jpeg	etag:%221714bd4cf0ed904a3acd04dcb1331a0d%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/refund/adding_refund_button_for_cash-008.jpg?cache=&w=900&h=721&tok=7852b4	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/refund/adding_refund_button_for_cash-00891a4.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/refund/adding_refund_button_for_cash-008.jpg?id=en%3Aadding_refund_button_for_cash)
22:49:51	109274/109274	---M--	200	added ('OK')	image/jpeg	etag:%228102439d7e1affa015052a2218ed89ef%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-003.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-003fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-003.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:51	289931/289931	---M--	200	added ('OK')	image/jpeg	etag:%221004734b948c3c00229bba8425ac89cc%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-002.jpg?cache=&w=900&h=731&tok=a35d43	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-0028fba.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-002.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:51	285419/285419	---M--	200	added ('OK')	image/jpeg	etag:%22f639fbd93a9ab7813e4036435944e04f%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-003.jpg?cache=&w=900&h=731&tok=0db8c0	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-003a0b5.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-003.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:51	108122/108122	---M--	200	added ('OK')	image/jpeg	etag:%227b333d7de58f9833c229296ee0a98b5e%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-004.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-004fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-004.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:52	124852/124852	---M--	200	added ('OK')	image/jpeg	etag:%22f1233ba8099a1245ce81d6537449622d%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-005.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-005fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-005.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:53	105566/105566	---M--	200	added ('OK')	image/jpeg	etag:%22f1233ba8099a1245ce81d6537449622d%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-006.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-006fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-006.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:53	279832/279832	---M--	200	added ('OK')	image/jpeg	etag:%2221d22938dbee3d317bd62bf56caad50d%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-004.jpg?cache=&w=900&h=731&tok=927244	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-0042f27.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-004.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:53	123592/123592	---M--	200	added ('OK')	image/jpeg	etag:%22628dd4da988e781df5e5b3bde3faffdf%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-007.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-007fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-007.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:54	308829/308829	---M--	200	added ('OK')	image/jpeg	etag:%22f1bee2877823602694fc4f44ac541c0e%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-005.jpg?cache=&w=900&h=731&tok=fa43b6	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-00509e9.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-005.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:54	275736/275736	---M--	200	added ('OK')	image/jpeg	etag:%225126a7ce17d47bdd2f9f40abe376a9e5%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-006.jpg?cache=&w=900&h=731&tok=29187d	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-006073e.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-006.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:54	94521/94521	---M--	200	added ('OK')	image/jpeg	etag:%229b69daee7ad80776189eb5a2c7c5a81f%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-009.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-009fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-009.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:55	303129/303129	---M--	200	added ('OK')	image/jpeg	etag:%22c68b2fdd83716d1405c09a97853f9e50%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-007.jpg?cache=&w=900&h=731&tok=3112d3	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-007312d.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-007.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:55	267750/267750	---M--	200	added ('OK')	image/jpeg	etag:%22ebd92751b4446b3a1e726d138a57eb62%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-009.jpg?cache=&w=900&h=731&tok=cb7d6c	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-0095a0b.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-009.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
22:49:55	106010/106010	---M--	200	added ('OK')	image/jpeg	etag:%229b69daee7ad80776189eb5a2c7c5a81f%22	https://sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-008.jpg?cache=	D:/DEV/GitHub/hjoab/sambaPOsweb/sambapos3/sambapos.org/wiki/lib/exe/fetch.php/en/cash/configuring_cash_transactions_for_v2_users-008fce7.jpg_;	(from https://sambapos.org/wiki/lib/exe/detail.php/en/cash/configuring_cash_transactions_for_v2_users-008.jpg?id=en%3Aconfiguring_cash_transactions_for_v2_users)
